20
69
t0 tc tt tmax Np Nc Nloop Nreal Nt ntraj Ti Te Zeff Aeff ndens Ln Li Le magnetic_model B0 R0 a0 s1 s2 s3 amp elong device shot shotslice Omgt0 Omgtprim turb_model Phi turbprof Ai lambdax lambday lambdaz lbalonz tauc k0i k0e gamma_ZF x_corr t_corr X0 Y0 Z0 Tw Ew pitch Aw Zw position_type pitch_type energy_type USE_larmor USE_coll USE_turb USE_magnturb USE_freq USE_polar USE_PC USE_real USE_corr USE_balloon USE_tilt USE_testing
0 -1 -1 60 20000 50 2 1 1200 10 3 3 1 1 5 2.2 6.9 6.9 4 2.2 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 2 0.01 5 1 5 5 0.8 10 10 0.05 0.05 0 1 1 1.95 0 0 1 0.1 0.4 1 1 2 2 2 1 0 1 0 1 1 0 0 0 0 0 0
0 -1 -1 60 20000 50 2 1 1200 10 3 3 1 1 5 2.2 6.9 6.9 4 2.2 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 2 0.01 5 1 5 5 1.2842105 10 10 0.05 0.05 0 1 1 1.95 0 0 1 0.1 0.4 1 1 2 2 2 1 0 1 0 1 1 0 0 0 0 0 0
0 -1 -1 60 20000 50 2 1 1200 10 3 3 1 1 5 2.2 6.9 6.9 4 2.2 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 2 0.01 5 1 5 5 1.7684211 10 10 0.05 0.05 0 1 1 1.95 0 0 1 0.1 0.4 1 1 2 2 2 1 0 1 0 1 1 0 0 0 0 0 0
0 -1 -1 60 20000 50 2 1 1200 10 3 3 1 1 5 2.2 6.9 6.9 4 2.2 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 2 0.01 5 1 5 5 2.2526316 10 10 0.05 0.05 0 1 1 1.95 0 0 1 0.1 0.4 1 1 2 2 2 1 0 1 0 1 1 0 0 0 0 0 0
0 -1 -1 60 20000 50 2 1 1200 10 3 3 1 1 5 2.2 6.9 6.9 4 2.2 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 2 0.01 5 1 5 5 2.7368421 10 10 0.05 0.05 0 1 1 1.95 0 0 1 0.1 0.4 1 1 2 2 2 1 0 1 0 1 1 0 0 0 0 0 0
0 -1 -1 60 20000 50 2 1 1200 10 3 3 1 1 5 2.2 6.9 6.9 4 2.2 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 2 0.01 5 1 5 5 3.2210526 10 10 0.05 0.05 0 1 1 1.95 0 0 1 0.1 0.4 1 1 2 2 2 1 0 1 0 1 1 0 0 0 0 0 0
0 -1 -1 60 20000 50 2 1 1200 10 3 3 1 1 5 2.2 6.9 6.9 4 2.2 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 2 0.01 5 1 5 5 3.7052632 10 10 0.05 0.05 0 1 1 1.95 0 0 1 0.1 0.4 1 1 2 2 2 1 0 1 0 1 1 0 0 0 0 0 0
0 -1 -1 60 20000 50 2 1 1200 10 3 3 1 1 5 2.2 6.9 6.9 4 2.2 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 2 0.01 5 1 5 5 4.1894737 10 10 0.05 0.05 0 1 1 1.95 0 0 1 0.1 0.4 1 1 2 2 2 1 0 1 0 1 1 0 0 0 0 0 0
0 -1 -1 60 20000 50 2 1 1200 10 3 3 1 1 5 2.2 6.9 6.9 4 2.2 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 2 0.01 5 1 5 5 4.6736842 10 10 0.05 0.05 0 1 1 1.95 0 0 1 0.1 0.4 1 1 2 2 2 1 0 1 0 1 1 0 0 0 0 0 0
0 -1 -1 60 20000 50 2 1 1200 10 3 3 1 1 5 2.2 6.9 6.9 4 2.2 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 2 0.01 5 1 5 5 5.1578947 10 10 0.05 0.05 0 1 1 1.95 0 0 1 0.1 0.4 1 1 2 2 2 1 0 1 0 1 1 0 0 0 0 0 0
0 -1 -1 60 20000 50 2 1 1200 10 3 3 1 1 5 2.2 6.9 6.9 4 2.2 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 2 0.01 5 1 5 5 5.6421053 10 10 0.05 0.05 0 1 1 1.95 0 0 1 0.1 0.4 1 1 2 2 2 1 0 1 0 1 1 0 0 0 0 0 0
0 -1 -1 60 20000 50 2 1 1200 10 3 3 1 1 5 2.2 6.9 6.9 4 2.2 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 2 0.01 5 1 5 5 6.1263158 10 10 0.05 0.05 0 1 1 1.95 0 0 1 0.1 0.4 1 1 2 2 2 1 0 1 0 1 1 0 0 0 0 0 0
0 -1 -1 60 20000 50 2 1 1200 10 3 3 1 1 5 2.2 6.9 6.9 4 2.2 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 2 0.01 5 1 5 5 6.6105263 10 10 0.05 0.05 0 1 1 1.95 0 0 1 0.1 0.4 1 1 2 2 2 1 0 1 0 1 1 0 0 0 0 0 0
0 -1 -1 60 20000 50 2 1 1200 10 3 3 1 1 5 2.2 6.9 6.9 4 2.2 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 2 0.01 5 1 5 5 7.0947368 10 10 0.05 0.05 0 1 1 1.95 0 0 1 0.1 0.4 1 1 2 2 2 1 0 1 0 1 1 0 0 0 0 0 0
0 -1 -1 60 20000 50 2 1 1200 10 3 3 1 1 5 2.2 6.9 6.9 4 2.2 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 2 0.01 5 1 5 5 7.5789474 10 10 0.05 0.05 0 1 1 1.95 0 0 1 0.1 0.4 1 1 2 2 2 1 0 1 0 1 1 0 0 0 0 0 0
0 -1 -1 60 20000 50 2 1 1200 10 3 3 1 1 5 2.2 6.9 6.9 4 2.2 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 2 0.01 5 1 5 5 8.0631579 10 10 0.05 0.05 0 1 1 1.95 0 0 1 0.1 0.4 1 1 2 2 2 1 0 1 0 1 1 0 0 0 0 0 0
0 -1 -1 60 20000 50 2 1 1200 10 3 3 1 1 5 2.2 6.9 6.9 4 2.2 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 2 0.01 5 1 5 5 8.5473684 10 10 0.05 0.05 0 1 1 1.95 0 0 1 0.1 0.4 1 1 2 2 2 1 0 1 0 1 1 0 0 0 0 0 0
0 -1 -1 60 20000 50 2 1 1200 10 3 3 1 1 5 2.2 6.9 6.9 4 2.2 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 2 0.01 5 1 5 5 9.0315789 10 10 0.05 0.05 0 1 1 1.95 0 0 1 0.1 0.4 1 1 2 2 2 1 0 1 0 1 1 0 0 0 0 0 0
0 -1 -1 60 20000 50 2 1 1200 10 3 3 1 1 5 2.2 6.9 6.9 4 2.2 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 2 0.01 5 1 5 5 9.5157895 10 10 0.05 0.05 0 1 1 1.95 0 0 1 0.1 0.4 1 1 2 2 2 1 0 1 0 1 1 0 0 0 0 0 0
0 -1 -1 60 20000 50 2 1 1200 10 3 3 1 1 5 2.2 6.9 6.9 4 2.2 1.65 0.6 0.84 0 2.24 1 1.2 3 54178 6 0 0 2 0.01 5 1 5 5 10 10 10 0.05 0.05 0 1 1 1.95 0 0 1 0.1 0.4 1 1 2 2 2 1 0 1 0 1 1 0 0 0 0 0 0
