# mode=database | scenario=CycloneBaseCase | db=Full_database | selection=Full_db_random_99 | sweeps=— | runs=99 | exported=2026-06-09
99
73
USE_larmor USE_coll USE_turb USE_magnturb USE_freq USE_polar USE_PC USE_real USE_corr USE_balloon USE_tilt USE_testing t0 tc tt tmax Nt Nreal Nc Nloop Np ntraj Ti Te Zeff Aeff ndens Ln Li Le magnetic_model B0 R0 a0 s1 s2 s3 amp elong device shot shotslice Omgt0 Omgtprim turb_model x_corr y_corr t_corr Phi turbprof Ai lambdax lambday lambdaz lbalonz tauc k0i k0e gamma_ZF X0 Y0 Z0 Ts Es pitch As Zs position_type annulus_width pitch_type energy_type Lns Lts
1 0 1 0 1 0 0 0 0 1 1 0 50 -1 -1 0 1000 1 50 1 5000 10 3 3 1 1 5 10 6.9 6.9 4 2.5 1.65 0.6 0.28 2.24 0.0001 1 1.2 3 54178 6 0 0 2 1 1 1 0.0375 5 1 7.75 8.2 8.56 3.28 10.25 0.05 0.05 0 1.95 0 0 3.5 0.1 0.4 1.2 4.1 3 0.1 2 2 0 0
1 0 1 0 1 0 0 0 0 1 1 0 50 -1 -1 0 1000 1 50 1 5000 10 3 3 1 1 5 2.5 6.9 6.9 4 2.5 1.65 0.6 0.28 2.24 0.0001 1 1.2 3 54178 6 0 0 2 1 1 1 0.0475 5 0 4.15 2.8 0.4 4 16.1 0.05 0.05 0 1.95 0 0 3.3 0.1 0.4 1.4 3.85 3 0.1 2 2 0 0
1 0 1 0 1 0 0 0 0 1 1 0 50 -1 -1 0 1000 1 50 1 5000 10 3 3 1 1 5 5 6.9 6.9 4 2.5 1.65 0.6 0.28 2.24 0.0001 1 1.2 3 54178 6 0 0 2 1 1 1 0.01 5 1 3.25 10 0.4 2.02 19.025 0.05 0.05 0 1.95 0 0 1.3 0.1 0.4 1.8 3.35 3 0.1 2 2 0 0
1 0 1 0 1 0 0 0 0 1 1 0 50 -1 -1 0 1000 1 50 1 5000 10 3 3 1 1 5 6.5 6.9 6.9 4 2.5 1.65 0.6 0.28 2.24 0.0001 1 1.2 3 54178 6 0 0 2 1 1 1 0.0225 5 0.8 5.95 1 0.88 3.28 7.325 0.05 0.05 0 1.95 0 0 2.9 0.1 0.4 4.4 0.85 3 0.1 2 2 0 0
1 0 1 0 1 0 0 0 0 1 1 0 50 -1 -1 0 1000 1 50 1 5000 10 3 3 1 1 5 9.5 6.9 6.9 4 2.5 1.65 0.6 0.28 2.24 0.0001 1 1.2 3 54178 6 0 0 2 1 1 1 0.015 5 0.5 5.95 8.65 3.76 0.76 6.35 0.05 0.05 0 1.95 0 0 0.5 0.1 0.4 3 4.35 3 0.1 2 2 0 0
1 0 1 0 1 0 0 0 0 1 1 0 50 -1 -1 0 1000 1 50 1 5000 10 3 3 1 1 5 3.5 6.9 6.9 4 2.5 1.65 0.6 0.28 2.24 0.0001 1 1.2 3 54178 6 0 0 2 1 1 1 0.0175 5 0.6 1 9.1 7.6 3.64 5.375 0.05 0.05 0 1.95 0 0 3.3 0.1 0.4 4 2.6 3 0.1 2 2 0 0
1 0 1 0 1 0 0 0 0 1 1 0 50 -1 -1 0 1000 1 50 1 5000 10 3 3 1 1 5 0.5 6.9 6.9 4 2.5 1.65 0.6 0.28 2.24 0.0001 1 1.2 3 54178 6 0 0 2 1 1 1 0.0025 5 0.2 2.35 5.05 9.52 3.28 15.125 0.05 0.05 0 1.95 0 0 1.7 0.1 0.4 3.4 5.1 3 0.1 2 2 0 0
1 0 1 0 1 0 0 0 0 1 1 0 50 -1 -1 0 1000 1 50 1 5000 10 3 3 1 1 5 4 6.9 6.9 4 2.5 1.65 0.6 0.28 2.24 0.0001 1 1.2 3 54178 6 0 0 2 1 1 1 0.0125 5 0.75 5.05 7.75 5.68 1.12 3.425 0.05 0.05 0 1.95 0 0 2.1 0.1 0.4 2 5.1 3 0.1 2 2 0 0
1 0 1 0 1 0 0 0 0 1 1 0 50 -1 -1 0 1000 1 50 1 5000 10 3 3 1 1 5 1 6.9 6.9 4 2.5 1.65 0.6 0.28 2.24 0.0001 1 1.2 3 54178 6 0 0 2 1 1 1 0.0075 5 0.55 7.75 5.95 8.08 0.76 8.3 0.05 0.05 0 1.95 0 0 3.5 0.1 0.4 3 1.35 3 0.1 2 2 0 0
1 0 1 0 1 0 0 0 0 1 1 0 50 -1 -1 0 1000 1 50 1 5000 10 3 3 1 1 5 6 6.9 6.9 4 2.5 1.65 0.6 0.28 2.24 0.0001 1 1.2 3 54178 6 0 0 2 1 1 1 0.0475 5 1 5.05 9.55 1.36 0.58 0.5 0.05 0.05 0 1.95 0 0 3.9 0.1 0.4 2.4 0.6 3 0.1 2 2 0 0
